year,race,Detected
2016,AIAN,50
2016,Asian,97
2016,Black,1533
2016,Hispanic,839
2016,Multiracial,93
2016,NHPI,45
2016,White,756
2017,AIAN,68
2017,Asian,94
2017,Black,1701
2017,Hispanic,1013
2017,Multiracial,75
2017,NHPI,45
2017,White,876
2018,AIAN,70
2018,Asian,97
2018,Black,1809
2018,Hispanic,1200
2018,Multiracial,126
2018,NHPI,46
2018,White,1031
2019,AIAN,109
2019,Asian,127
2019,Black,2250
2019,Hispanic,1514
2019,Multiracial,162
2019,NHPI,54
2019,White,1369
2020,AIAN,150
2020,Asian,139
2020,Black,2401
2020,Hispanic,1799
2020,Multiracial,192
2020,NHPI,61
2020,White,1662
2021,AIAN,255
2021,Asian,131
2021,Black,2824
2021,Hispanic,2073
2021,Multiracial,254
2021,NHPI,65
2021,White,2063
2022,AIAN,361
2022,Asian,160
2022,Black,3481
2022,Hispanic,2941
2022,Multiracial,311
2022,NHPI,72
2022,White,2803
2023,AIAN,502
2023,Asian,173
2023,Black,3842
2023,Hispanic,3388
2023,Multiracial,385
2023,NHPI,94
2023,White,3111
