year,race,births,fetal_deaths,total
2016,AIAN,31465,234,31699
2016,Asian,254870,974,255844
2016,Black,559235,5910,565145
2016,Hispanic,926461,4462,930923
2016,Multiracial,80954,304,81258
2016,NHPI,9350,106,9456
2016,White,2057311,9519,2066830
2017,AIAN,29967,241,30208
2017,Asian,249616,1009,250625
2017,Black,561297,5835,567132
2017,Hispanic,905998,4397,910395
2017,Multiracial,82455,313,82768
2017,NHPI,9436,82,9518
2017,White,1993312,9430,2002742
2018,AIAN,29115,183,29298
2018,Asian,241223,1029,242252
2018,Black,552630,5938,558568
2018,Hispanic,893897,4510,898407
2018,Multiracial,83889,340,84229
2018,NHPI,9481,95,9576
2018,White,1957261,9621,1966882
2019,AIAN,28493,214,28707
2019,Asian,239189,963,240152
2019,Black,548719,5766,554485
2019,Hispanic,893901,4264,898165
2019,Multiracial,84358,355,84713
2019,NHPI,9778,99,9877
2019,White,1917034,9067,1926101
2020,AIAN,26822,212,27034
2020,Asian,219309,864,220173
2020,Black,530036,5536,535572
2020,Hispanic,871385,4231,875616
2020,Multiracial,84266,340,84606
2020,NHPI,9630,103,9733
2020,White,1844161,8753,1852914
2021,AIAN,26129,197,26326
2021,Asian,213947,846,214793
2021,Black,518108,5173,523281
2021,Hispanic,890278,4290,894568
2021,Multiracial,87013,370,87383
2021,NHPI,9536,95,9631
2021,White,1888274,9196,1897470
2022,AIAN,25732,187,25919
2022,Asian,219192,813,220005
2022,Black,511695,5194,516889
2022,Hispanic,944199,4359,948558
2022,Multiracial,88408,346,88754
2022,NHPI,10128,106,10234
2022,White,1841422,8280,1849702
2023,AIAN,24579,178.620900046635,24757.6209000466
2023,Asian,216006,801.182880762072,216807.182880762
2023,Black,491753,4991.57717390242,496744.577173902
2023,Hispanic,952535,4397.48407380224,956932.484073802
2023,Multiracial,89019,348.391254185142,89367.3912541852
2023,NHPI,10124,105.958135860979,10229.958135861
2023,White,1787833,8039.03572347892,1795872.03572348
