STI,Year,Vital Status,Cases
Congenital syphilis,2016,Stillbirth,44
Congenital syphilis,2016,Infant death,4
Congenital syphilis,2017,Stillbirth,69
Congenital syphilis,2017,Infant death,12
Congenital syphilis,2018,Stillbirth,81
Congenital syphilis,2018,Infant death,15
Congenital syphilis,2019,Stillbirth,95
Congenital syphilis,2019,Infant death,36
Congenital syphilis,2020,Stillbirth,127
Congenital syphilis,2020,Infant death,27
Congenital syphilis,2021,Stillbirth,205
Congenital syphilis,2021,Infant death,23
Congenital syphilis,2022,Stillbirth,237
Congenital syphilis,2022,Infant death,51
Congenital syphilis,2023,Stillbirth,252
Congenital syphilis,2023,Infant death,27
